control_index,t,rudder_deg_ref,rudder_deg_pil,rudder_error_deg,sail_deg_ref,sail_deg_pil,sail_error_deg,solver_status_pil,candidate_type_selected_pil,candidate_set_size_pil,intervention_pil
0,0.0,-35.0,-35.0,0.0,85.0,85.0,0.0,inactive_passthrough,nominal_passthrough,1,False
1,1.0,-35.0,-35.0,0.0,84.99582938819535,84.99582938819535,0.0,inactive_passthrough,nominal_passthrough,1,False
2,2.0,-35.0,-35.0,0.0,84.94235049759634,84.94235049759634,0.0,inactive_passthrough,nominal_passthrough,1,False
3,3.0000000000000004,-35.0,-35.0,0.0,84.74550456922006,84.74550456922006,0.0,inactive_passthrough,nominal_passthrough,1,False
4,4.000000000000001,-35.0,-35.0,0.0,84.29276492505338,84.29276492505338,0.0,inactive_passthrough,nominal_passthrough,1,False
5,5.000000000000002,-35.0,-35.0,0.0,83.46985240245797,83.46985240245797,0.0,inactive_passthrough,nominal_passthrough,1,False
6,6.000000000000003,-35.0,-35.0,0.0,82.16599074173925,82.16599074173925,0.0,inactive_passthrough,nominal_passthrough,1,False
7,7.000000000000004,-35.0,-35.0,0.0,80.27112064785975,80.27112064785975,0.0,inactive_passthrough,nominal_passthrough,1,False
8,8.000000000000004,-35.0,-35.0,0.0,77.66675035649375,77.66675035649375,0.0,inactive_passthrough,nominal_passthrough,1,False
9,9.0,-35.0,-35.0,0.0,74.21276365712883,74.21276365712883,0.0,inactive_passthrough,nominal_passthrough,1,False
10,9.999999999999996,-35.0,-35.0,0.0,69.73648486361063,69.73648486361063,0.0,inactive_passthrough,nominal_passthrough,1,False
11,10.999999999999991,-35.0,-35.0,0.0,64.0381158609132,64.03811586091321,1.4210854715202004e-14,inactive_passthrough,nominal_passthrough,1,False
12,11.99999999999999,-20.19188591583456,-20.19188591583456,0.0,56.93206016729224,56.93206016729224,0.0,inactive_passthrough,nominal_passthrough,1,False
13,12.999999999999986,-4.827984095860509,-4.82798409586051,-8.881784197001252e-16,49.70042476897781,49.70042476897781,0.0,inactive_passthrough,nominal_passthrough,1,False
14,13.999999999999982,3.754870473517321,3.754870473517321,0.0,44.5194927199151,44.5194927199151,0.0,inactive_passthrough,nominal_passthrough,1,False
15,14.99999999999998,5.640781869616887,5.640781869616885,-2.6645352591003757e-15,42.265290754257954,42.265290754257954,0.0,inactive_passthrough,nominal_passthrough,1,False
16,15.999999999999975,3.693480943253133,3.6934809432531344,1.3322676295501878e-15,42.268793576760565,42.268793576760565,0.0,inactive_passthrough,nominal_passthrough,1,False
17,16.99999999999997,0.9980447047575316,0.9980447047575312,-4.440892098500626e-16,43.238370215052925,43.238370215052925,0.0,inactive_passthrough,nominal_passthrough,1,False
18,17.999999999999968,-0.6959672478456899,-0.6959672478456901,-2.220446049250313e-16,44.13868418479622,44.13868418479622,0.0,inactive_passthrough,nominal_passthrough,1,False
19,18.999999999999964,-1.108939998692135,-1.108939998692135,0.0,44.54234822772268,44.54234822772268,0.0,inactive_passthrough,nominal_passthrough,1,False
20,19.99999999999996,-0.7644522371868737,-0.7644522371868737,0.0,44.50829107459812,44.50829107459813,7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
21,20.99999999999996,-0.2764995432252895,-0.2764995432252895,0.0,44.28327770565013,44.28327770565013,0.0,inactive_passthrough,nominal_passthrough,1,False
22,21.999999999999957,0.016920397451635,0.016920397451635,0.0,44.07117836867726,44.07117836867726,0.0,inactive_passthrough,nominal_passthrough,1,False
23,22.99999999999995,0.0728127236670178,0.0728127236670178,0.0,43.95213563354408,43.95213563354408,0.0,inactive_passthrough,nominal_passthrough,1,False
24,23.999999999999947,-0.0023882492008169,-0.0023882492008169,0.0,43.91114649927413,43.911146499274125,-7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
25,24.999999999999943,-0.0942691112945844,-0.0942691112945844,0.0,43.90019350300782,43.90019350300782,0.0,inactive_passthrough,nominal_passthrough,1,False
26,25.99999999999994,-0.1455152502849303,-0.1455152502849303,0.0,43.88243710813495,43.882437108134944,-7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
27,26.999999999999936,-0.1535516684414363,-0.1535516684414363,0.0,43.84529911911972,43.84529911911972,0.0,inactive_passthrough,nominal_passthrough,1,False
28,27.99999999999993,-0.1404498384189846,-0.1404498384189846,0.0,43.793190540815175,43.793190540815175,0.0,inactive_passthrough,nominal_passthrough,1,False
29,28.99999999999993,-0.1269769359376041,-0.1269769359376041,0.0,43.73536070235426,43.73536070235425,-7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
30,29.999999999999925,-0.1222546780133195,-0.1222546780133195,0.0,43.678132908364255,43.67813290836426,7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
31,30.99999999999992,-0.125592120270332,-0.125592120270332,0.0,43.62315959075763,43.62315959075763,0.0,inactive_passthrough,nominal_passthrough,1,False
32,31.99999999999992,-0.1325155677605616,-0.1325155677605617,-1.1102230246251565e-16,43.56917669159058,43.56917669159058,0.0,inactive_passthrough,nominal_passthrough,1,False
33,32.99999999999993,-0.1393533528510961,-0.1393533528510961,0.0,43.51430821229702,43.514308212297024,7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
34,33.99999999999994,-0.1447517554250623,-0.1447517554250622,1.1102230246251565e-16,43.45736948618712,43.45736948618712,0.0,inactive_passthrough,nominal_passthrough,1,False
35,34.99999999999996,-0.1490774907887516,-0.1490774907887516,0.0,43.398045668819535,43.39804566881954,7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
36,35.99999999999997,-0.1532448573352494,-0.1532448573352494,0.0,43.336496059006734,43.336496059006734,0.0,inactive_passthrough,nominal_passthrough,1,False
37,36.99999999999999,-0.1579278694847253,-0.1579278694847253,0.0,43.272926030628966,43.272926030628966,0.0,inactive_passthrough,nominal_passthrough,1,False
38,38.0,-0.163357918676481,-0.1633579186764809,1.1102230246251565e-16,43.20737387764633,43.20737387764634,7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
39,39.000000000000014,-0.1694782788905383,-0.1694782788905383,0.0,43.13970216236798,43.13970216236798,0.0,inactive_passthrough,nominal_passthrough,1,False
40,40.00000000000003,-0.1761676884167924,-0.1761676884167924,0.0,43.06967935615077,43.069679356150765,-7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
41,41.00000000000004,-0.1833744078672725,-0.1833744078672725,0.0,42.99705471516088,42.99705471516088,0.0,inactive_passthrough,nominal_passthrough,1,False
42,42.00000000000006,-0.191141717860562,-0.191141717860562,0.0,42.92158855250219,42.92158855250219,0.0,inactive_passthrough,nominal_passthrough,1,False
43,43.00000000000007,-0.1995750732368535,-0.1995750732368535,0.0,42.84304536661586,42.84304536661586,0.0,inactive_passthrough,nominal_passthrough,1,False
44,44.000000000000085,-0.2088036619357682,-0.2088036619357682,0.0,42.76117241428391,42.76117241428391,0.0,inactive_passthrough,nominal_passthrough,1,False
45,45.0000000000001,-0.2189621543666733,-0.2189621543666733,0.0,42.67568054559139,42.67568054559139,0.0,inactive_passthrough,nominal_passthrough,1,False
46,46.000000000000114,-0.2301934605551588,-0.2301934605551589,-1.1102230246251565e-16,42.586232541040246,42.586232541040246,0.0,inactive_passthrough,nominal_passthrough,1,False
47,47.00000000000013,-0.2426625744472136,-0.2426625744472136,0.0,42.49243628037062,42.49243628037062,0.0,inactive_passthrough,nominal_passthrough,1,False
48,48.00000000000014,-0.2565726833340608,-0.2565726833340608,0.0,42.39383785567642,42.39383785567642,0.0,inactive_passthrough,nominal_passthrough,1,False
49,49.00000000000016,-0.2721804030401958,-0.2721804030401958,0.0,42.28991100694309,42.28991100694309,0.0,inactive_passthrough,nominal_passthrough,1,False
50,50.00000000000017,-0.2898118745360527,-0.2898118745360527,0.0,42.180041166975975,42.180041166975975,0.0,inactive_passthrough,nominal_passthrough,1,False
51,51.000000000000185,-0.3098838545339502,-0.3098838545339502,0.0,42.06350333425448,42.06350333425447,-7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
52,52.0000000000002,-0.3329347574699166,-0.3329347574699166,0.0,41.93943265559942,41.93943265559942,0.0,inactive_passthrough,nominal_passthrough,1,False
53,53.00000000000021,-0.3596715988300245,-0.3596715988300245,0.0,41.806785341598726,41.80678534159872,-7.105427357601002e-15,inactive_passthrough,nominal_passthrough,1,False
