control_index,t,rudder_deg_ref,rudder_deg_pil,rudder_error_deg,sail_deg_ref,sail_deg_pil,sail_error_deg,solver_status_pil,candidate_type_selected_pil,candidate_set_size_pil,intervention_pil
0,0.0,-35.0,-35.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,nominal,78,False
1,1.0,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,78,True
2,2.0,-35.0,-35.0,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,78,True
3,3.0000000000000004,-35.0,-35.0,0.0,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,78,True
4,4.000000000000001,-35.0,-35.0,0.0,84.45057250516298,84.45057250516297,-1.4210854715202004e-14,sampled_horizon_raw_safe,nominal,78,False
5,5.000000000000002,-35.0,-35.0,0.0,83.94857931875359,83.94857931875359,0.0,sampled_horizon_raw_safe,nominal,78,False
6,6.000000000000003,-35.0,-35.0,0.0,83.1297091434239,83.12970914342385,-4.263256414560601e-14,sampled_horizon_raw_safe,nominal,78,False
7,7.000000000000004,-35.0,-35.0,0.0,81.85077281999722,81.85077281999723,1.4210854715202004e-14,sampled_horizon_raw_safe,nominal,78,False
8,8.000000000000004,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,78,True
9,9.0,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,78,True
10,9.999999999999996,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,78,True
11,10.999999999999991,-28.0,-28.0,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,78,True
12,11.99999999999999,-21.0,-21.0,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,78,True
13,12.999999999999986,-14.0,-14.000000000000002,-1.7763568394002505e-15,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,78,True
14,13.999999999999982,-14.0,-14.000000000000002,-1.7763568394002505e-15,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,78,True
15,14.99999999999998,-8.915972355830108,-8.915972355830108,0.0,49.484407928368846,49.48440792836885,7.105427357601002e-15,sampled_horizon_raw_safe,goal_projected,78,True
16,15.999999999999975,-4.375000000000002,-4.375000000000002,0.0,45.34868444509409,45.34868444509409,0.0,sampled_horizon_raw_safe,rudder_sweep,78,True
17,16.99999999999997,-4.375000000000002,-4.375000000000002,0.0,42.24658686932806,42.246586869328056,-7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,78,True
18,17.999999999999968,-4.375000000000002,-4.375000000000002,0.0,39.95252593527843,39.95252593527843,0.0,sampled_horizon_raw_safe,rudder_sweep,78,True
19,18.999999999999964,0.0,0.0,0.0,37.986947646008,37.98694764600799,-7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,78,True
