control_index,t,rudder_deg_ref,rudder_deg_pil,rudder_error_deg,sail_deg_ref,sail_deg_pil,sail_error_deg,solver_status_pil,candidate_type_selected_pil,candidate_set_size_pil,intervention_pil
0,0.0,-35.0,-35.0,0.0,70.00000000000003,70.00000000000003,0.0,sampled_horizon_raw_safe,nominal,82,False
1,1.0,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
2,2.0,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
3,3.0000000000000004,-35.0,-35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
4,4.000000000000001,-28.0,-28.0,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,82,True
5,5.000000000000002,-21.0,-21.0,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,82,True
6,6.000000000000003,-17.5,-17.5,0.0,58.00463643410077,58.00463643410077,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
7,7.000000000000004,-14.0,-14.000000000000002,-1.7763568394002505e-15,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,82,True
8,8.000000000000004,-8.75,-8.750000000000002,-1.7763568394002505e-15,48.71805816820455,48.71805816820456,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,82,True
9,9.0,-8.75,-8.750000000000002,-1.7763568394002505e-15,44.62174290620185,44.621742906201845,-7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,82,True
10,9.999999999999996,-5.9141689658798855,-5.914168965879886,-8.881784197001252e-16,41.06013413409298,41.06013413409298,0.0,sampled_horizon_raw_safe,nominal,82,False
11,10.999999999999991,-4.375000000000002,-4.375000000000002,0.0,37.99343028535741,37.99343028535741,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
12,11.99999999999999,-4.375000000000002,-4.375000000000002,0.0,35.55075486885035,35.55075486885035,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
13,12.999999999999986,0.0,0.0,0.0,33.5054532630098,33.5054532630098,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
14,13.999999999999982,0.0,0.0,0.0,32.181113036822865,32.181113036822865,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
15,14.99999999999998,0.0,0.0,0.0,31.597828373473764,31.597828373473764,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
16,15.999999999999975,0.0,0.0,0.0,31.34092988789514,31.34092988789514,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
17,16.99999999999997,0.0,0.0,0.0,31.22778302146865,31.22778302146865,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
18,17.999999999999968,0.0,0.0,0.0,31.17794927739928,31.17794927739928,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
19,18.999999999999964,0.0,0.0,0.0,31.15600079463167,31.15600079463167,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
20,19.99999999999996,0.0,0.0,0.0,31.14633393325497,31.14633393325497,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
21,20.99999999999996,0.0,0.0,0.0,31.14207631737029,31.14207631737029,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
22,21.999999999999957,4.375000000000002,4.375000000000002,0.0,31.1402011179322,31.1402011179322,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
23,22.99999999999995,0.0,0.0,0.0,31.725697454163228,31.725697454163228,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
24,23.999999999999947,0.0,0.0,0.0,32.43055416624069,32.43055416624069,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
25,24.999999999999943,4.375000000000002,4.375000000000002,0.0,32.740997133904045,32.740997133904045,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
26,25.99999999999994,0.0,0.0,0.0,33.46724710994049,33.46724710994049,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
27,26.999999999999936,0.0,0.0,0.0,34.23646805177601,34.23646805177601,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
28,27.99999999999993,0.0,0.0,0.0,34.57525922433703,34.57525922433703,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
29,28.99999999999993,0.0,0.0,0.0,34.724474426839684,34.724474426839684,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
30,29.999999999999925,0.0,0.0,0.0,34.79019389789201,34.79019389789201,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
31,30.99999999999992,0.0,0.0,0.0,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
32,31.99999999999992,14.0,13.999999999999996,-3.552713678800501e-15,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
33,32.99999999999993,17.5,17.5,0.0,36.73447418566575,36.73447418566575,0.0,sampled_horizon_raw_safe,rudder_sweep,82,True
34,33.99999999999994,17.5,17.5,0.0,41.38368232821882,41.3836823282188,-1.4210854715202004e-14,sampled_horizon_raw_safe,rudder_sweep,82,True
35,34.99999999999996,21.0,21.0,0.0,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
36,35.99999999999997,14.0,13.999999999999996,-3.552713678800501e-15,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
37,36.99999999999999,13.124999999999998,13.124999999999998,0.0,62.3269077415422,62.3269077415422,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
38,38.0,0.0,0.0,0.0,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
39,39.000000000000014,0.0,0.0,0.0,12.000000000000002,12.000000000000002,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
40,40.00000000000003,-8.75,-8.750000000000002,-1.7763568394002505e-15,74.7926014100828,74.7926014100828,0.0,sampled_horizon_raw_safe,rudder_sweep,84,True
41,41.00000000000004,-7.0,-7.000000000000001,-8.881784197001252e-16,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,84,True
42,42.00000000000006,-7.0,-7.000000000000001,-8.881784197001252e-16,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
43,43.00000000000007,-7.0,-7.000000000000001,-8.881784197001252e-16,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
44,44.000000000000085,-7.0,-7.000000000000001,-8.881784197001252e-16,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,84,True
45,45.0000000000001,-4.375000000000002,-4.375000000000002,0.0,64.38804919931138,64.38804919931138,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
46,46.000000000000114,-4.375000000000002,-4.375000000000002,0.0,61.850086643701424,61.850086643701424,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
47,47.00000000000013,-7.0,-7.000000000000001,-8.881784197001252e-16,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
48,48.00000000000014,-4.375000000000002,-4.375000000000002,0.0,57.38744582331596,57.38744582331596,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
49,49.00000000000016,-4.375000000000002,-4.375000000000002,0.0,55.0704999170579,55.07049991705791,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,83,True
50,50.00000000000017,-4.375000000000002,-4.375000000000002,0.0,53.01862953625624,53.01862953625624,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
51,51.000000000000185,-7.0,-7.000000000000001,-8.881784197001252e-16,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,83,True
52,52.0000000000002,-4.375000000000002,-4.375000000000002,0.0,48.83537415874306,48.83537415874306,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
53,53.00000000000021,-4.375000000000002,-4.375000000000002,0.0,46.53665801404606,46.53665801404606,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
54,54.00000000000023,-7.0,-7.000000000000001,-8.881784197001252e-16,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
55,55.00000000000024,-4.375000000000002,-4.375000000000002,0.0,42.17558423940968,42.17558423940968,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
56,56.000000000000256,-7.0,-7.000000000000001,-8.881784197001252e-16,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
57,57.00000000000027,-4.375000000000002,-4.375000000000002,0.0,37.41040589724034,37.41040589724034,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
58,58.00000000000029,-4.375000000000002,-4.375000000000002,0.0,35.018782003257016,35.018782003257016,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
59,59.0000000000003,0.0,0.0,0.0,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
60,60.00000000000031,0.0,0.0,0.0,30.25,30.25,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
61,61.00000000000033,0.0,0.0,0.0,30.92883603386277,30.92883603386277,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
62,62.00000000000034,0.0,0.0,0.0,30.66118655780083,30.66118655780083,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
63,63.00000000000036,0.0,0.0,0.0,30.543304588006823,30.543304588006823,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
64,64.00000000000037,0.0,0.0,0.0,30.491385342705197,30.491385342705197,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
65,65.00000000000038,0.0,0.0,0.0,30.46851833397262,30.46851833397262,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
66,66.0000000000004,0.0,0.0,0.0,30.45844692239226,30.45844692239226,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
67,67.00000000000041,0.0,0.0,0.0,30.454011128782028,30.454011128782028,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
68,68.00000000000043,0.0,0.0,0.0,30.452057453788623,30.452057453788623,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
69,69.00000000000044,0.0,0.0,0.0,30.45119698860129,30.45119698860129,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
70,70.00000000000045,0.0,0.0,0.0,30.450818010346897,30.450818010346897,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
71,71.00000000000047,0.0,0.0,0.0,30.450651095381165,30.450651095381165,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
72,72.00000000000048,0.0,0.0,0.0,30.450577580329867,30.45057758032987,3.552713678800501e-15,sampled_horizon_raw_safe,rudder_sweep,81,True
73,73.0000000000005,0.0,0.0,0.0,30.45054520179068,30.45054520179068,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
74,74.00000000000051,0.0,0.0,0.0,30.45053094117625,30.45053094117625,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
75,75.00000000000053,0.0,0.0,0.0,30.450524660314628,30.450524660314628,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
76,76.00000000000054,0.0,0.0,0.0,30.45052189400867,30.450521894008677,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,81,True
77,77.00000000000055,0.0,0.0,0.0,30.45052067563308,30.45052067563308,0.0,sampled_horizon_raw_safe,rudder_sweep,81,True
78,78.00000000000057,0.0,0.0,0.0,30.45052013901885,30.450520139018856,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sweep,81,True
79,79.00000000000058,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,81,True
80,80.0000000000006,35.0,35.0,0.0,85.0,85.0,0.0,sampled_horizon_slack_fallback,rudder_sail_grid,82,True
81,81.00000000000061,4.375000000000002,4.375000000000002,0.0,10.171794292635404,10.171794292635406,1.7763568394002505e-15,sampled_horizon_raw_safe,rudder_sweep,82,True
82,82.00000000000063,4.375000000000002,4.375000000000002,0.0,16.425655551457957,16.425655551457957,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
83,83.00000000000064,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
84,84.00000000000065,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
85,85.00000000000067,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,82,True
86,86.00000000000068,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
87,87.0000000000007,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
88,88.00000000000071,0.0,0.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
89,89.00000000000072,35.0,35.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
90,90.00000000000074,35.0,35.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
91,91.00000000000075,35.0,35.0,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
92,92.00000000000075,35.0,35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
93,93.00000000000078,35.0,35.0,0.0,66.75000000000001,66.75000000000001,0.0,sampled_horizon_raw_safe,rudder_sail_grid,83,True
94,94.0000000000008,30.625000000000004,30.625000000000004,0.0,76.62513878312755,76.62513878312754,-1.4210854715202004e-14,sampled_horizon_raw_safe,rudder_sweep,83,True
95,95.0000000000008,26.25,26.25,0.0,85.0,85.0,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
96,96.00000000000082,21.0,21.0,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,83,True
97,97.00000000000084,14.0,13.999999999999996,-3.552713678800501e-15,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,83,True
98,98.00000000000084,8.750000000000004,8.750000000000004,0.0,58.76714082873284,58.76714082873284,0.0,sampled_horizon_raw_safe,rudder_sweep,83,True
99,99.00000000000088,6.999999999999997,6.999999999999997,0.0,48.5,48.50000000000001,7.105427357601002e-15,sampled_horizon_raw_safe,rudder_sail_grid,83,True
